id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
653,"Conceptual Modelling 2006, Third Asia-Pacific Conference on Conceptual
Modelling (APCCM 2005), Hobart, Tasmania, Australia, January 16-19
2006",conference,,Australian Computer Society,1,1,2026-01-31 22:36:10.275834,2026-01-31 22:36:10.281507
654,"5th International Joint Conference on Autonomous Agents and Multiagent
Systems (AAMAS 2006), Hakodate, Japan, May 8-12, 2006",conference,,ACM,1,1,2026-01-31 22:36:10.296492,2026-01-31 22:36:10.303855
655,"Declarative Agent Languages and Technologies IV, 4th International
Workshop, DALT 2006, Hakodate, Japan, May 8, 2006, Selected, Revised
and Invited Papers",conference,,Springer,1,1,2026-01-31 22:36:10.304067,2026-01-31 22:36:10.309073
656,"PRICAI 2006: Trends in Artificial Intelligence, 9th Pacific Rim
International Conference on Artificial Intelligence, Guilin, China,
August 7-11, 2006, Proceedings",conference,,Springer,2,2,2026-01-31 22:36:10.309313,2026-01-31 22:36:10.321583
101,"Data and Applications Security and Privacy XXVI - 26th Annual IFIP
WG 11.3 Conference, DBSec 2012, Paris, France, July 11-13,2012.
Proceedings",conference,,Springer,1,1,2026-01-31 22:35:56.839977,2026-01-31 22:35:56.842943
102,"Advances in Computer Science - ASIAN 2007. Computer and Network
Security, 12th Asian Computing Science Conference, Doha, Qatar, December
9-11, 2007, Proceedings",conference,,Springer,1,1,2026-01-31 22:35:56.869173,2026-01-31 22:35:56.872567
103,Medical Biol. Eng. Comput.,journal,,,1,1,2026-01-31 22:35:56.879126,2026-01-31 22:35:56.882882
105,Neural Process. Lett.,journal,,,1,1,2026-01-31 22:35:56.895723,2026-01-31 22:35:56.899975
107,Intell. Decis. Technol.,journal,,,1,1,2026-01-31 22:35:56.911857,2026-01-31 22:35:56.914919
109,"Proceedings of the Thirteenth Indian Conference on Computer Vision,
Graphics and Image Processing, ICVGIP 2022, Gandhinagar, India,
December 8-10, 2022",conference,,ACM,1,1,2026-01-31 22:35:56.924875,2026-01-31 22:35:56.932394
111,"Proceedings of the 11th International Conference on Soft Computing
and Pattern Recognition (SoCPaR 2019), Hyderabad, India, December
13-15, 2019",conference,,Springer,1,1,2026-01-31 22:35:56.948790,2026-01-31 22:35:56.951526
112,IEEE Trans. Neural Networks Learn. Syst.,journal,,,1,1,2026-01-31 22:35:56.963873,2026-01-31 22:35:56.970700
