id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
2622,954,958,1,2023,2023,2026-01-31 22:36:08.484173,2026-01-31 22:36:08.484174
2623,954,959,1,2023,2023,2026-01-31 22:36:08.488407,2026-01-31 22:36:08.488408
2624,41,954,1,2023,2023,2026-01-31 22:36:08.491863,2026-01-31 22:36:08.491863
2625,953,958,1,2023,2023,2026-01-31 22:36:08.494038,2026-01-31 22:36:08.494039
2626,958,959,1,2023,2023,2026-01-31 22:36:08.495819,2026-01-31 22:36:08.495819
2627,95,958,1,2023,2023,2026-01-31 22:36:08.497620,2026-01-31 22:36:08.497622
2628,41,958,1,2023,2023,2026-01-31 22:36:08.499835,2026-01-31 22:36:08.499836
2629,953,959,1,2023,2023,2026-01-31 22:36:08.501541,2026-01-31 22:36:08.501542
2630,41,953,1,2023,2023,2026-01-31 22:36:08.504403,2026-01-31 22:36:08.504403
2631,95,959,1,2023,2023,2026-01-31 22:36:08.506157,2026-01-31 22:36:08.506157
2632,41,959,1,2023,2023,2026-01-31 22:36:08.508027,2026-01-31 22:36:08.508028
2633,41,95,1,2023,2023,2026-01-31 22:36:08.509839,2026-01-31 22:36:08.509839
2618,953,956,2,2023,2024,2026-01-31 22:36:08.448345,2026-01-31 22:36:08.525768
2619,954,956,2,2023,2024,2026-01-31 22:36:08.450702,2026-01-31 22:36:08.525768
2620,95,956,2,2023,2024,2026-01-31 22:36:08.452409,2026-01-31 22:36:08.525769
2641,960,963,1,2021,2021,2026-01-31 22:36:08.584171,2026-01-31 22:36:08.584172
2642,960,964,1,2021,2021,2026-01-31 22:36:08.586529,2026-01-31 22:36:08.586529
2645,95,963,1,2021,2021,2026-01-31 22:36:08.592088,2026-01-31 22:36:08.592089
2646,95,964,1,2021,2021,2026-01-31 22:36:08.593949,2026-01-31 22:36:08.593950
2648,961,963,1,2021,2021,2026-01-31 22:36:08.597354,2026-01-31 22:36:08.597354
2649,961,964,1,2021,2021,2026-01-31 22:36:08.599268,2026-01-31 22:36:08.599269
2650,962,963,1,2021,2021,2026-01-31 22:36:08.601310,2026-01-31 22:36:08.601310
2651,962,964,1,2021,2021,2026-01-31 22:36:08.602998,2026-01-31 22:36:08.602998
2652,963,964,1,2021,2021,2026-01-31 22:36:08.604660,2026-01-31 22:36:08.604661
2655,953,965,1,2021,2021,2026-01-31 22:36:08.618149,2026-01-31 22:36:08.618150
2657,953,966,1,2021,2021,2026-01-31 22:36:08.623164,2026-01-31 22:36:08.623165
2653,95,965,2,2021,2021,2026-01-31 22:36:08.613880,2026-01-31 22:36:08.633300
2654,965,966,2,2021,2021,2026-01-31 22:36:08.616466,2026-01-31 22:36:08.633301
2656,95,966,2,2021,2021,2026-01-31 22:36:08.619815,2026-01-31 22:36:08.633301
2658,954,967,1,2021,2021,2026-01-31 22:36:08.640786,2026-01-31 22:36:08.640786
2659,95,967,1,2021,2021,2026-01-31 22:36:08.645424,2026-01-31 22:36:08.645424
