id,title,dblp_key,publication_type,year,journal,booktitle,source_pids
1293,Model based Software Develeopment: Issues & Challenges,DBLP:journals/corr/abs-1203-1314,article,2012,CoRR,,98/6017
994,Modeling social directory- A formal approach,DBLP:conf/rait/Mohanty12,conference,2012,,"1st International Conference on Recent Advances in Information Technology,
RAIT 2012, Dhanbad, India, March 15-17, 2012",74/5678
623,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",DBLP:conf/miwai/2012,proceedings,2012,,,31/566
66,New heuristics for two bounded-degree spanning tree problems,DBLP:journals/isci/SundarSR12,article,2012,Inf. Sci.,,01/1744-1
245,"Novel Granular Framework for Attribute Reduction in Incomplete Decision
Systems",DBLP:conf/miwai/SR12,conference,2012,,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",07/5281-1;23/2953
523,"Novel Morphological Algorithms for Dominating Sets on Graphs with
Applications to Image Analysis",DBLP:conf/iwcia/PotluriB12,conference,2012,,"Combinatorial Image Analysis - 15th International Workshop, IWCIA
2012, Austin, TX, USA, November 28-30, 2012. Proceedings",16/5380;91/1525
1069,On performance analysis of end-to-end OCR systems of Indic scripts,DBLP:conf/icvgip/KumarBA12,conference,2012,,"Proceeding of the workshop on Document Analysis and Recognition, DAR@ICVGIP
2012, Mumbai, India, December 16, 2012",91/1525;97/3869
1236,Palmprint identification based on wide principal lines,DBLP:conf/icacci/KalluriPA12,conference,2012,,"2012 International Conference on Advances in Computing, Communications
and Informatics, ICACCI '12, Chennai, India, August 3-5, 2012",97/3869
140,"Particle swarm optimisation with stochastic ranking for constrained
numerical and engineering benchmark problems",DBLP:journals/ijbic/AliSU12,article,2012,Int. J. Bio Inspired Comput.,,04/3517
830,"Particle Swarm Optimization Trained Auto Associative Neural Networks
Used as Single Class Classifier",DBLP:conf/semcco/RaviNM12,conference,2012,,"Swarm, Evolutionary, and Memetic Computing - Third International Conference,
SEMCCO 2012, Bhubaneswar, India, December 20-22, 2012. Proceedings",55/8654
1294,Performance Analysis of HR Portal Domain Components Extraction,DBLP:journals/corr/abs-1203-1328,article,2012,CoRR,,98/6017
240,"Privacy preserving data mining using particle swarm optimisation trained
auto-associative neural network: an application to bankruptcy prediction
in banks",DBLP:journals/ijdmmm/ParamjeetRNR12,article,2012,Int. J. Data Min. Model. Manag.,,07/5281-1;55/8654
895,"Quasi-cyclic codes over F\(_\mbox13\) and enumeration of defining
polynomials",DBLP:journals/jda/VenkaiahG12,article,2012,J. Discrete Algorithms,,66/8044
143,Reliable cooperative wideband spectrum sensing based on Entropy estimation,DBLP:conf/icspcs/SrinuSU12,conference,2012,,"6th International Conference on Signal Processing and Communication
Systems, ICSPCS 2012, Gold Coast, Australia, December 12-14, 2012",04/3517
822,Routing Table Implementation Using Integer Data Structure,DBLP:conf/ic3/ManasaPR12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",51/1349
250,"Rule Extraction from DEWNN to Solve Classification and Regression
Problems",DBLP:conf/semcco/NaveenRR12,conference,2012,,"Swarm, Evolutionary, and Memetic Computing - Third International Conference,
SEMCCO 2012, Bhubaneswar, India, December 20-22, 2012. Proceedings",07/5281-1;55/8654
248,Scalable Improved Quick Reduct: Sample Based,DBLP:conf/rskt/PrasadR12,conference,2012,,"Rough Sets and Knowledge Technology - 7th International Conference,
RSKT 2012, Chengdu, China, August 17-20, 2012. Proceedings",07/5281-1;23/2953
243,Seamless Provision of Cloud Services Using Peer-to-Peer (P2P) Architecture,DBLP:conf/icdcit/MasneWRA12,conference,2012,,"Distributed Computing and Internet Technology - 8th International
Conference, ICDCIT 2012, Bhubaneswar, India, February 2-4, 2012.
Proceedings",07/5281-1;31/566;97/3869
251,"Search Result Clustering Through Expectation Maximization Based Pruning
of Terms",DBLP:conf/socpros/BinduR12,conference,2012,,"Proceedings of the Second International Conference on Soft Computing
for Problem Solving, SocProS 2012, December 28-30, 2012, JK Lakshmipat
University (JKLU), Jaipur, India",07/5281-1
141,"Secure and Optimized Mobile Based Merchant Payment Protocol using
Signcryption",DBLP:journals/ijisp/AhamadSU12,article,2012,Int. J. Inf. Secur. Priv.,,04/3517
992,Service maps in XML,DBLP:conf/cube/VaddiMS12,conference,2012,,"CUBE International IT Conference & Exhibition, CUBE '12,
Pune, India - September 03 - 06, 2012",74/5678
550,Smart Sensing System for Human Emotion and Behaviour Recognition,DBLP:conf/permin/SuryadevaraQM12,conference,2012,,"Perception and Machine Intelligence - First Indo-Japan Conference,
PerMIn 2012, Kolkata, India, January 12-13, 2012. Proceedings",21/10736
861,SMOTE Based Protein Fold Prediction Classification,DBLP:conf/acity/VaniB12,conference,2012,,"Advances in Computing and Information Technology - Proceedings of
the Second International Conference on Advances in Computing and Information
Technology (ACITY) July 13-15, 2012, Chennai, India - Volume 2",63/2890
138,"SoC based floating point implementation of differential evolution
algorithm using FPGA",DBLP:journals/dafes/AnumandlaPSU12,article,2012,Des. Autom. Embed. Syst.,,04/3517
441,Social group formation with mobile cloud services,DBLP:journals/soca/SriramaPF12,article,2012,Serv. Oriented Comput. Appl.,,09/1571
142,"Spectrum sensing based on entropy estimation using cyclostationary
features for Cognitive radio",DBLP:conf/comsnets/SabatSRU12,conference,2012,,"Fourth International Conference on Communication Systems and Networks,
COMSNETS 2012, Bangalore, India, January 3-7, 2012",04/3517
823,"Storage and Retrieval of Large Data Sets: Dimensionality Reduction
and Nearest Neighbour Search",DBLP:conf/ic3/ChandrasekharR12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",51/1349
442,"Stratus: A Distributed Computing Framework for Scientific Simulations
on the Cloud",DBLP:conf/hpcc/JakovitsSK12,conference,2012,,"14th IEEE International Conference on High Performance Computing
and Communication & 9th IEEE International Conference on Embedded
Software and Systems, HPCC-ICESS 2012, Liverpool, United Kingdom,
June 25-27, 2012",09/1571
863,Symmetric encryption using logistic map,DBLP:conf/rait/RaniB12,conference,2012,,"1st International Conference on Recent Advances in Information Technology,
RAIT 2012, Dhanbad, India, March 15-17, 2012",63/2890
1153,Time Series Quanslet: A Novel Primitive for Image Classification,DBLP:conf/ic3/MishraP12,conference,2012,,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",95/6184
440,"Towards Mobile Cloud Applications: offloading Resource-Intensive Tasks
to Hybrid Clouds",DBLP:journals/ijpcc/FloresSP12,article,2012,Int. J. Pervasive Comput. Commun.,,09/1571
246,Tuning the Optimization Parameter Set for Code Size,DBLP:conf/miwai/CheboluWR12,conference,2012,,"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",07/5281-1;31/566
1071,Two key signature scheme with application to Digital Certificates,DBLP:conf/rait/KumarB12a,conference,2012,,"1st International Conference on Recent Advances in Information Technology,
RAIT 2012, Dhanbad, India, March 15-17, 2012",91/1525
